caseNumber,url,place,depCode,dateTime,physicalEffect,witnessEffect,entities,landing
10,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=10,Combovin,26,1977-01-01 19:45,true,true,false,false
2192,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=2192,Creysseilles,07,1977-01-01 01:30,false,false,false,false
2193,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=2193,Montmiral,26,1977-01-01 20:00,false,false,false,false
2194,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=2194,St Donat sur l,26,1977-01-01 19:00,false,false,false,false
2195,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=2195,Mézilhac,07,1977-01-01,false,false,false,false
2196,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=2196,Louvroil,59,1977-01-01 17:15,false,false,false,false
2572,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=2572,Trausse,11,1977-01-05 22:40,false,false,false,false
3022,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=3022,Ste Croix en Plaine,68,1977-01-08 05:50,true,false,false,false
3023,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=3023,St Pierreville,07,1977-01-09 20:00,false,false,false,false
3024,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=3024,Tours,37,1977-01-10 21:00,false,false,false,false
3025,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=3025,Eyragues,13,1977-01-12,false,false,false,false
2490,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=2490,Bussières St Georges,23,1977-01-18 01:00,true,true,false,false
3026,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=3026,Pas de la Case,66,1977-01-18 17:00,false,false,false,false
1083,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=1083,St Paul (St Gilles les hauts),974,1977-01-21,true,false,false,false
1092,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=1092,St Benoît,974,1977-01-24 08:17,false,false,false,false
3027,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=3027,L'Isle sur Sorgues,84,1977-01-24 07:30,false,false,false,false
1421,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=1421,Aups,83,1977-01-29 03:30,false,false,false,false
2249,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=2249,Le Thoronet,83,1977-01-30 02:00,false,false,false,false
3028,http://baseovnifrance.free.fr/listgen.php?typlist=20&page=0&numobs=3028,Preaux du Perche,61,1977-01-30 21:15,true,false,false,false