caseNumber,url,city,state,country,dateTime,shape,summary,reportDate,postDate,image
1932,https://nuforc.org/sighting/?id=1932,Westminster,CO,USA,1980-03-24 14:00,Disk,"A disc shaped object was floating above, the color was a orangish red and glowing, took off at a blink of an eye.

My name is Dave an",1997-01-06T23:00:00.000Z,1998-03-06T23:00:00.000Z,false
8826,https://nuforc.org/sighting/?id=8826,Morning Sun,IA,USA,1980-03-20 00:00,Disk,"A 12' circular light was on the bottom of the craft. It was hovering silently over my farm pond. I was 20' from craft, the engines star",1999-08-28T22:00:00.000Z,1999-08-29T22:00:00.000Z,false
11873,https://nuforc.org/sighting/?id=11873,San Francisco,CA,USA,1980-03-01 18:30,Light,Bright blue circular light travelled east to west across the S.F. Bay at a high rate of speed.,2000-02-02T23:00:00.000Z,2002-02-21T23:00:00.000Z,false
12105,https://nuforc.org/sighting/?id=12105,Manassas,VA,USA,1980-03-15 16:30,Disk,Witnessed 15 disks flying directly west into the setting sunlight,2000-02-22T23:00:00.000Z,2000-02-22T23:00:00.000Z,false
16391,https://nuforc.org/sighting/?id=16391,Maldon (UK/England),,United Kingdom,1980-03-01 19:35,Circle,a flap opened on the craft and beings walked out,2001-02-09T23:00:00.000Z,2001-02-17T23:00:00.000Z,false
31990,https://nuforc.org/sighting/?id=31990,Bisbee,AZ,USA,1980-03-01 18:00,Other,"Large, nearby, stationary, metallic, featureless oblate  spheroid in full daylight, chased by jet fighter in Az in 1980",2003-09-30T22:00:00.000Z,2003-10-06T22:00:00.000Z,false
32262,https://nuforc.org/sighting/?id=32262,Paterson,NJ,USA,1980-03-20 20:00,Disk,HUGE disk hovering over the city of Paterson in the very early 1980's.,2003-10-15T22:00:00.000Z,2003-10-16T22:00:00.000Z,false
36529,https://nuforc.org/sighting/?id=36529,Paterson,NJ,USA,1980-03-01 21:00,Disk,Lights over Paterson NJ 1980,2004-04-24T22:00:00.000Z,2004-04-26T22:00:00.000Z,false
38281,https://nuforc.org/sighting/?id=38281,Oxford,CT,USA,1980-03-01 00:30,Cigar,Large Cigar shaped object very close.,2004-07-22T22:00:00.000Z,2004-07-24T22:00:00.000Z,false
40386,https://nuforc.org/sighting/?id=40386,Homestead,FL,USA,1980-03-14 20:00,Circle,Glowing white circular object seen in the Florida Everglades around 1980.,2004-10-31T23:00:00.000Z,2004-11-01T23:00:00.000Z,false
45318,https://nuforc.org/sighting/?id=45318,Not Sure,NH,USA,1980-03-20 02:00,Other,Multiple Object Sighting.,2005-07-28T22:00:00.000Z,2005-09-01T22:00:00.000Z,false
49352,https://nuforc.org/sighting/?id=49352,Wayland,MA,USA,1980-03-15 01:00,Light,"Bright yellow light  accelerates above road in Wayland, MA to a high speed noiselessly.",2006-02-28T23:00:00.000Z,2006-03-10T23:00:00.000Z,false
61941,https://nuforc.org/sighting/?id=61941,Canoga Park,CA,USA,1980-03-31 19:15,Disk,Saucer shaped craft hovering near Zody's dept store in Canoga Park,2008-02-25T23:00:00.000Z,2008-03-03T23:00:00.000Z,false
70640,https://nuforc.org/sighting/?id=70640,Concord (north of),NH,USA,1980-03-15 02:00,Other,Multiple Neon Green Objects Flying In Formation,2009-06-21T22:00:00.000Z,2009-08-04T22:00:00.000Z,false
122967,https://nuforc.org/sighting/?id=122967,Colorado Springs,CO,USA,1980-03-15 07:00,Disk,Two UFOs and one floating military plane in New Mexico.,2015-10-18T22:00:00.000Z,2015-10-28T23:00:00.000Z,false
174843,https://nuforc.org/sighting/?id=174843,Phoenix,AZ,USA,1980-03-13 12:01,Cone,Thimble shape rocket out of a silo,2023-03-01T23:00:00.000Z,2023-03-05T23:00:00.000Z,false