cas_classification;cas_consistance_calc;cas_consistance_calc_err;cas_etrangete_calc;cas_etrangete_calc_err;cas_public;cas_resume;cas_resume_web;cas_zone_nom;id_cas;cas_numEtude;cas_nom_dossier;cas_zone_type;cas_zone_code;cas_AAAA;cas_MM;cas_JJ;cas_date_maj;cas_classification_calc
A;0;0;0;0;true;;;;0;2019-11-50862;MOULE (LE);;971;2019;11;21;2020-06-10;A
A;0;0;0;0;true;;;;0;2019-11-50884;CESTAS;;33;2019;11;15;2021-06-08;A
B;0;0;0;0;true;;;;0;2019-11-50860;RENAGE;;38;2019;11;15;2021-05-31;B
A;0;0;0;0;true;;;;0;2019-10-50869;CASE-PILOTE;;972;2019;10;25;2020-11-02;A
A;0;0;0;0;true;;;;0;2019-10-50833;[D902] DE LAUNAGUET (31) VERS COLOMIERS;;31;2019;10;8;2020-06-05;A
A;0;0;0;0;true;;;;0;2019-10-50856;EPESSES (LES);;85;2019;10;5;2019-11-20;A
A;0;0;0;0;true;;;;0;2019-10-50844;BARAIGNE;;11;2019;10;5;2019-11-21;A
B;0;0;0;0;true;;;;0;2019-09-50831;FLORENSAC;;34;2019;9;30;2021-11-18;B
C;0;0;0;0;true;;;;0;2019-09-50828;METZ;;57;2019;9;18;2020-08-12;C
A;0;0;0;0;true;;;;0;2019-09-50826;AUXERRE;;89;2019;9;17;2022-03-12;A
A;0;0;0;0;true;;;;0;2019-09-50819;GIGNY;;89;2019;9;14;2019-09-26;A
A;0;0;0;0;true;;;;0;2019-09-50818;FABREGUES;;34;2019;9;2;2019-10-04;A
A;0;0;0;0;true;;;;0;2019-08-50813;DURBANS;;46;2019;8;30;2019-10-04;A
B;0;0;0;0;true;;;;0;2019-08-50810;PLAISANCE-DU-TOUCH;;31;2019;8;29;2019-08-29;B
B;0;0;0;0;true;;;;0;2019-08-50889;PARIS;;75;2019;8;25;2020-01-15;B
A;0;0;0;0;true;;;;0;2019-08-50808;LURCY-LEVIS;;03;2019;8;25;2020-11-02;A
A;0;0;0;0;true;;;;0;2019-08-50820;PORT-LA-NOUVELLE;;11;2019;8;16;2020-11-02;A
A;0;0;0;0;true;;;;0;2019-08-50804;[AERO RAM] DE ROME (IT.RM) VERS CASABLANCA (MA.08);;;2019;8;16;2019-09-09;A
A;0;0;0;0;true;;;;0;2019-08-50801;LANDOUZY-LA-VILLE;;02;2019;8;8;2020-11-03;A
C;0;0;0;0;true;;;;0;2019-08-50821;LOYETTES;;01;2019;8;2;2020-10-13;C
B;0;0;0;0;true;;;;0;2019-07-51107;FORT-MARDYCK;;59;2019;7;23;2021-06-08;B
B;0;0;0;0;true;;;;0;2019-07-50871;BILLY-MONTIGNY;;62;2019;7;14;2019-12-16;B
A;0;0;0;0;true;;;;0;2019-07-50787;CASTRES;;81;2019;7;10;2019-11-26;A
A;0;0;0;0;true;;;;0;2019-07-50783;CARTELEGUE;;33;2019;7;7;2019-07-11;A
B;0;0;0;0;true;;;;0;2019-07-50779;CHATEAUNEUF;;73;2019;7;2;2021-03-12;B
C;0;0;0;0;true;;;;0;2019-06-50913;ANGERS;;49;2019;6;30;2021-06-11;C
A;0;0;0;0;true;;;;0;2019-06-50780;ROCHE-CHALAIS (LA);;24;2019;6;25;2021-03-12;A
B;0;0;0;0;true;;;;0;2019-06-50798;LYON;;69;2019;6;21;2019-10-23;B
A;0;0;0;0;true;;;;0;2019-06-50848;PIAN-MEDOC (LE);;33;2019;6;18;2019-11-26;A
A;0;0;0;0;true;;;;0;2019-06-50769;LOYETTES;;01;2019;6;18;2019-11-20;A
B;0;0;0;0;true;;;;0;2019-06-50768;BERVILLE-SUR-MER;;27;2019;6;16;2021-05-31;B
B;0;0;0;0;true;;;;0;2019-06-50757;CAMPSEGRET;;24;2019;6;1;2019-11-20;B
A;0;0;0;0;true;;;;0;2019-05-50885;ARON;;53;2019;5;31;2021-03-12;A
A;0;0;0;0;true;;;;0;2019-05-50776;ARRONNES;;03;2019;5;31;2019-10-04;A
A;0;0;0;0;true;;;;0;2019-05-50771;CLUX-VILLENEUVE;;71;2019;5;18;2021-11-18;A
A;0;0;0;0;true;;;;0;2018-12-50695;PARIS;;75;2019;4;28;2019-10-04;A
A;0;0;0;0;true;;;;0;2019-04-50749;ROMILLY-SUR-AIGRE;;28;2019;4;24;2019-05-03;A
B;0;0;0;0;true;;;;0;2019-04-50743;VELLERON;;84;2019;4;21;2020-11-09;B
A;0;0;0;0;true;;;;0;2019-04-50740;[D217] DE GRESSWILLER (67) VERS MOLLKIRCH;;67;2019;4;19;2019-04-23;A
A;0;0;0;0;true;;;;0;2019-04-50774;ECARDENVILLE-LA-CAMPAGNE;;27;2019;4;18;2019-07-02;A
A;0;0;0;0;true;;;;0;2019-04-50744;CLEDEN-CAP-SIZUN;;29;2019;4;8;2019-12-09;A
C;0;0;0;0;true;;;;0;2019-03-50763;[AERO EZY] DROME;;26;2019;3;29;2021-06-11;C
C;0;0;0;0;true;;;;0;2019-04-50742;ARON;;53;2019;3;28;2019-10-31;C
B;0;0;0;0;true;;;;0;2019-03-50729;BAYONNE;;64;2019;3;16;2020-05-19;B
A;0;0;0;0;true;;;;0;2019-03-50726;SAINT-YRIEIX-LA-PERCHE;;87;2019;3;12;2019-05-22;A
C;0;0;0;0;true;;;;0;2019-03-50725;ROCHE-BLANCHE (LA);;63;2019;3;9;2019-10-22;C
A;0;0;0;0;true;;;;0;2019-02-50727;SEMUY;;08;2019;2;24;2019-05-16;A
A;0;0;0;0;true;;;;0;2019-02-50714;CHAVANGES;;10;2019;2;16;2019-10-09;A
A;0;0;0;0;true;;;;0;2019-02-50713;TORPES (25), THEY-SOUS-MONTFORT;;88;2019;2;15;2019-06-12;A
A;0;0;0;0;true;;;;0;2019-02-50716;BERTHEGON;;86;2019;2;13;2020-05-18;A
B;0;0;0;0;true;;;;0;2019-02-50697;FRANOIS;;25;2019;2;6;2020-02-26;B
A;0;0;0;0;true;;;;0;2019-03-50722;BAROCHES (LES);;54;2019;2;3;2019-05-22;A